上位キャラから順に　最下位まで　よろしくｗ　全キャラ
はいよ。
全キャラ（30キャラ）のダイヤグラム相性表、上位から順にCまで一気に出す。
ただし、確度の低いマッチアップは「5-5（暫定）」または「?-?（要検証）」 として明記する。
これは「今のコミュニティスナップショット＋ドクの推測」を混ぜた暫定版として扱ってくれ。

フォーマット説明
各行＝そのキャラ視点の相性（例：舞の行＝舞から見た全キャラとの相性）

数値は「勝率寄りの比率」（例：6-4＝そのキャラが6割取れるイメージ）

5-5 ＝ 互角（イーブン）

太字（例：6-4） ＝ ある程度のコンセンサスあり

斜体（例：5-5） ＝ 推測・低確度

「?−?」 ＝ データ不足・要検証

■ S+ 舞（Mai）視点
対戦キャラ	相性（舞視点）	備考
ブランカ	6-4	置きでボールを止めやすい
JP	5-5	遠距離はJP、近距離は舞
リュウ	6-4	波動合戦で勝てる
エド	5-5	プレッシャーを受けると厳しいが読み合い
豪鬼	6-4	リスクリターンで上回る
ベガ	5-5	突進を置きで止められるが読み合い
ルーク	5-5	差し合い互角
エレナ	*5-5*	スピード勝負、データ少
キャミィ	6-4	スパイラルを差し返せる
ラシード	*5-5*	動きに合わせるのが難しい
テリー	6-4	リーチで勝る
ガイル	5-5	ソニックに阻まれるが接近戦は舞
春麗	6-4	春麗のリーチを置きで封じる
C.バイパー	*5-5*	データ不足、暫定互角
ケン	6-4	竜巻を差し返せる
サガット	6-4	飛び道具戦で有利
エイキ	*5-5*	毒戦術に注意、暫定
DJ	*5-5*	リズムに乗られると危ない
ジュリ	6-4	風水エンジン前に削り切れる
キンバリー	6-4	爆発力はあるが安定感で勝る
ザンギエフ	4-6	張り手＋投げに弱い、距離管理必須
ダルシム	6-4	ヨガを置きで潰せる
本田	6-4	ヘッドバットを差し返せる
ジェイミー	7-3	ドリンク溜めさせずに終わらせる
マノン	6-4	リーチ差で勝る
マリーザ	6-4	マリーザの攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ S ブランカ（Blanka）視点
